Periodo,"Edificios industriales, comerciales y de servicios "
2006/01,2705921
2006/02,3072451
2006/03,3489300
2006/04,2852755
2006/05,3298411
2006/06,3321275
2006/07,3106091
2006/08,3634914
2006/09,3371497
2006/10,3612226
2006/11,3611029
2006/12,3552387
2007/01,3751148
2007/02,3547954
2007/03,3840104
2007/04,3592920
2007/05,3795821
2007/06,3280575
2007/07,3578890
2007/08,3344171
2007/09,3946284
2007/10,3881256
2007/11,3831190
2007/12,3832822
2008/01,4165115
2008/02,4448343
2008/03,4276024
2008/04,4641389
2008/05,5333930
2008/06,4661408
2008/07,4776282
2008/08,4227825
2008/09,4564981
2008/10,4477745
2008/11,4538996
2008/12,4461623
2009/01,4229507
2009/02,3518707
2009/03,3299778
2009/04,3318710
2009/05,3261210
2009/06,2961721
2009/07,2806201
2009/08,2722941
2009/09,3263394
2009/10,3342686
2009/11,3012225
2009/12,3121622
2010/01,3264010
2010/02,2858976
2010/03,2930599
2010/04,2706313
2010/05,3034148
2010/06,3133498
2010/07,3037003
2010/08,2715396
2010/09,2737809
2010/10,3267128
2010/11,3325482
2010/12,3213691
2011/01,3642363
2011/02,3173194
2011/03,3130856
2011/04,3537192
2011/05,3700271
2011/06,3897233
2011/07,4217160
2011/08,4481045
2011/09,4458301
2011/10,5302633
2011/11,5052785
2011/12,4994491
2012/01,4236322
2012/02,4716937
2012/03,4441558
2012/04,4840696
2012/05,4971329
2012/06,4798385
2012/07,5065842
2012/08,4686642
2012/09,5319832
2012/10,5843267
2012/11,5547907
2012/12,5902863
2013/01,4637011
2013/02,4353983
2013/03,4782417
2013/04,5617522
2013/05,5527957
2013/06,5687333
2013/07,6105321
2013/08,6380563
2013/09,6708643
2013/10,7512372
2013/11,7640621
2013/12,6697956
2014/01,5771866
2014/02,6900618
2014/03,6746660
2014/04,5822612
2014/05,7026277
2014/06,6443952
2014/07,7767421
2014/08,7069953
2014/09,7398309
2014/10,8281903
2014/11,8553732
2014/12,7890557
2015/01,7498490
2015/02,7506208
2015/03,7609143
2015/04,7634940
2015/05,6533494
2015/06,6906571
2015/07,7320019
2015/08,6935728
2015/09,7077838
2015/10,7567017
2015/11,7892814
2015/12,7724268
2016/01,7174401
2016/02,7207644
2016/03,7389587
2016/04,7276100
2016/05,7052532
2016/06,7901113
2016/07,8041402
2016/08,8007990
2016/09,8364267
2016/10,9037231
2016/11,8980285
2016/12,9243928
2017/01,8012282
2017/02,8082055
2017/03,8163954
2017/04,7923064
2017/05,8450864
2017/06,8533527
2017/07,8498461
2017/08,8896032
2017/09,8332353
2017/10,8642603
2017/11,9123771
2017/12,9551137
2018/01,7966169
